total KP 
5116
bin time[s]
0.0001
time[s],counts
0.589099,6.000000
0.589199,7.000000
0.589299,2.000000
0.589399,6.000000
0.589499,3.000000
0.589599,4.000000
0.589699,7.000000
0.589799,8.000000
0.589899,5.000000
0.589999,5.000000
0.590099,4.000000
0.590199,3.000000
0.590299,3.000000
0.590399,6.000000
0.590499,5.000000
0.590599,5.000000
0.590699,7.000000
0.590799,4.000000
0.590899,5.000000
0.590999,8.000000
0.591099,5.000000
0.591199,5.000000
0.591299,2.000000
0.591399,5.000000
0.591499,3.000000
0.591599,6.000000
0.591699,3.000000
0.591799,6.000000
0.591899,3.000000
0.591999,2.000000
0.592099,4.000000
0.592199,1.000000
0.592299,4.000000
0.592399,5.000000
0.592499,3.000000
0.592599,2.000000
0.592699,1.000000
0.592799,2.000000
0.592899,4.000000
0.592999,4.000000
0.593099,4.000000
0.593199,6.000000
0.593299,6.000000
0.593399,3.000000
0.593499,11.000000
0.593599,6.000000
0.593699,2.000000
0.593799,6.000000
0.593899,7.000000
0.593999,8.000000
0.594099,1.000000
0.594199,4.000000
0.594299,1.000000
0.594399,1.000000
0.594499,3.000000
0.594599,6.000000
0.594699,4.000000
0.594799,3.000000
0.594899,7.000000
0.594999,4.000000
0.595099,4.000000
0.595199,4.000000
0.595299,5.000000
0.595399,4.000000
0.595499,5.000000
0.595599,6.000000
0.595699,4.000000
0.595799,4.000000
0.595899,5.000000
0.595999,2.000000
0.596099,4.000000
0.596199,2.000000
0.596299,8.000000
0.596399,5.000000
0.596499,4.000000
0.596599,3.000000
0.596699,2.000000
0.596799,3.000000
0.596899,4.000000
0.596999,0.000000
0.597099,2.000000
0.597199,4.000000
0.597299,4.000000
0.597399,4.000000
0.597499,1.000000
0.597599,3.000000
0.597699,3.000000
0.597799,3.000000
0.597899,3.000000
0.597999,2.000000
0.598099,3.000000
0.598199,5.000000
0.598299,5.000000
0.598399,2.000000
0.598499,3.000000
0.598599,5.000000
0.598699,4.000000
0.598799,2.000000
0.598899,3.000000
0.598999,2.000000
0.599099,1.000000
0.599199,8.000000
0.599299,5.000000
0.599399,2.000000
0.599499,5.000000
0.599599,5.000000
0.599699,4.000000
0.599799,5.000000
0.599899,0.000000
0.599999,10.000000
0.600099,0.000000
0.600199,6.000000
0.600299,3.000000
0.600399,2.000000
0.600499,3.000000
0.600599,1.000000
0.600699,2.000000
0.600799,4.000000
0.600899,2.000000
0.600999,1.000000
0.601099,2.000000
0.601199,2.000000
0.601299,4.000000
0.601399,2.000000
0.601499,3.000000
0.601599,1.000000
0.601699,0.000000
0.601799,3.000000
0.601899,3.000000
0.601999,3.000000
0.602099,3.000000
0.602199,2.000000
0.602299,4.000000
0.602399,5.000000
0.602499,2.000000
0.602599,2.000000
0.602699,1.000000
0.602799,7.000000
0.602899,1.000000
0.602999,1.000000
0.603099,5.000000
0.603199,3.000000
0.603299,0.000000
0.603399,1.000000
0.603499,3.000000
0.603599,3.000000
0.603699,2.000000
0.603799,2.000000
0.603899,1.000000
0.603999,2.000000
0.604099,0.000000
0.604199,1.000000
0.604299,3.000000
0.604399,1.000000
0.604499,3.000000
0.604599,2.000000
0.604699,2.000000
0.604799,1.000000
0.604899,0.000000
0.604999,2.000000
0.605099,3.000000
0.605199,1.000000
0.605299,2.000000
0.605399,1.000000
0.605499,0.000000
0.605599,0.000000
0.605699,1.000000
0.605799,1.000000
0.605899,0.000000
0.605999,2.000000
0.606099,1.000000
0.606199,0.000000
0.606299,3.000000
0.606399,0.000000
0.606499,3.000000
0.606599,0.000000
0.606699,0.000000
0.606799,2.000000
0.606899,2.000000
0.606999,0.000000
0.607099,2.000000
0.607199,0.000000
0.607299,3.000000
0.607399,1.000000
0.607499,2.000000
0.607599,3.000000
0.607699,1.000000
0.607799,0.000000
0.607899,1.000000
0.607999,2.000000
0.608099,0.000000
0.608199,2.000000
0.608299,1.000000
0.608399,3.000000
0.608499,1.000000
0.608599,1.000000
0.608699,0.000000
0.608799,0.000000
0.608899,1.000000
0.608999,1.000000
0.609099,1.000000
0.609199,0.000000
0.609299,0.000000
0.609399,0.000000
0.609499,1.000000
0.609599,1.000000
0.609699,1.000000
0.609799,0.000000
0.609899,1.000000
0.609999,3.000000
0.610099,0.000000
0.610199,0.000000
0.610299,0.000000
0.610399,2.000000
0.610499,1.000000
0.610599,2.000000
0.610699,0.000000
0.610799,0.000000
0.610899,2.000000
0.610999,1.000000
0.611099,0.000000
0.611199,2.000000
0.611299,0.000000
0.611399,0.000000
0.611499,0.000000
0.611599,0.000000
0.611699,1.000000
0.611799,0.000000
0.611899,1.000000
0.611999,1.000000
0.612099,2.000000
0.612199,1.000000
0.612299,0.000000
0.612399,0.000000
0.612499,0.000000
0.612599,1.000000
0.612699,1.000000
0.612799,0.000000
0.612899,2.000000
0.612999,0.000000
0.613099,0.000000
0.613199,1.000000
0.613299,0.000000
0.613399,0.000000
0.613499,0.000000
0.613599,0.000000
0.613699,1.000000
0.613799,0.000000
0.613899,0.000000
0.613999,0.000000
0.614099,0.000000
0.614199,0.000000
0.614299,0.000000
0.614399,0.000000
0.614499,1.000000
0.614599,0.000000
0.614699,0.000000
0.614799,0.000000
0.614899,0.000000
0.614999,0.000000
0.615099,0.000000
0.615199,0.000000
0.615299,0.000000
0.615399,1.000000
0.615499,1.000000
0.615599,1.000000
0.615699,0.000000
0.615799,0.000000
0.615899,0.000000
0.615999,0.000000
0.616099,1.000000
0.616199,0.000000
0.616299,2.000000
0.616399,0.000000
0.616499,0.000000
0.616599,0.000000
0.616699,0.000000
0.616799,1.000000
0.616899,0.000000
0.616999,1.000000
0.617099,0.000000
0.617199,0.000000
0.617299,0.000000
0.617399,1.000000
0.617499,0.000000
0.617599,0.000000
0.617699,1.000000
0.617799,1.000000
0.617899,0.000000
0.617999,1.000000
0.618099,0.000000
0.618199,0.000000
0.618299,0.000000
0.618399,0.000000
0.618499,0.000000
0.618599,1.000000
0.618699,0.000000
0.618799,0.000000
0.618899,0.000000
0.618999,0.000000
0.619099,0.000000
0.619199,0.000000
0.619299,0.000000
0.619399,0.000000
0.619499,0.000000
0.619599,1.000000
0.619699,0.000000
0.619799,0.000000
0.619899,0.000000
0.619999,0.000000
0.620099,0.000000
0.620199,0.000000
0.620299,0.000000
0.620399,0.000000
0.620499,0.000000
0.620599,0.000000
0.620699,1.000000
0.620799,0.000000
0.620899,1.000000
0.620999,0.000000
0.621099,1.000000
0.621199,1.000000
0.621299,1.000000
0.621399,0.000000
0.621499,0.000000
0.621599,0.000000
0.621699,0.000000
0.621799,0.000000
0.621899,0.000000
0.621999,0.000000
0.622099,0.000000
0.622199,1.000000
0.622299,0.000000
0.622399,0.000000
0.622499,0.000000
0.622599,0.000000
0.622699,0.000000
0.622799,0.000000
0.622899,0.000000
0.622999,0.000000
0.623099,0.000000
0.623199,0.000000
0.623299,0.000000
0.623399,0.000000
0.623499,0.000000
0.623599,0.000000
0.623699,0.000000
0.623799,1.000000
0.623899,0.000000
0.623999,0.000000
0.624099,0.000000
0.624199,0.000000
0.624299,1.000000
0.624399,0.000000
0.624499,0.000000
0.624599,0.000000
0.624699,0.000000
0.624799,0.000000
0.624899,0.000000
0.624999,1.000000
0.625099,1.000000
0.625199,1.000000
0.625299,0.000000
0.625399,0.000000
0.625499,0.000000
0.625599,0.000000
0.625699,0.000000
0.625799,0.000000
0.625899,0.000000
0.625999,0.000000
0.626099,0.000000
0.626199,0.000000
0.626299,0.000000
0.626399,0.000000
0.626499,0.000000
0.626599,0.000000
0.626699,0.000000
0.626799,0.000000
0.626899,0.000000
0.626999,0.000000
0.627099,0.000000
0.627199,0.000000
0.627299,0.000000
0.627399,1.000000
0.627499,1.000000
0.627599,0.000000
0.627699,0.000000
0.627799,0.000000
0.627899,0.000000
0.627999,0.000000
0.628099,0.000000
0.628199,0.000000
0.628299,0.000000
0.628399,0.000000
0.628499,1.000000
