total KP 
5116
x,y,time[s]
0.506937,0.280501,0.043085
0.526659,0.303665,0.053834
0.501388,0.272405,0.059154
0.510338,0.309910,0.066742
0.527909,0.318761,0.070096
0.522472,0.299864,0.070538
0.505936,0.314587,0.005838
0.534113,0.285985,0.031725
0.517241,0.313072,0.053108
0.509217,0.294248,0.055002
0.509128,0.290385,0.056478
0.515493,0.297408,0.057384
0.502717,0.494819,0.075143
0.511152,0.274911,0.078447
0.502227,0.287526,0.001765
0.776750,0.606860,0.045311
0.564286,0.621109,0.059746
0.671990,0.388350,0.051051
0.827346,0.612717,0.052120
0.407832,0.225314,0.073066
0.816484,0.585683,0.050210
0.813104,0.598733,0.061066
0.335411,0.772517,0.063438
0.558140,0.550245,0.056073
0.865005,0.579498,0.056118
0.732967,0.593783,0.049693
0.829067,0.581954,0.052186
0.825000,0.586263,0.056351
0.606723,0.581359,0.005553
0.275194,0.333962,0.045248
0.804545,0.320988,0.053714
0.717286,0.604183,0.057709
0.575039,0.535878,0.075085
0.817424,0.575455,0.068111
0.553782,0.581107,0.075335
0.780411,0.576087,0.001048
0.546512,0.604680,0.078657
0.529904,0.510588,0.057796
0.723985,0.580169,0.058665
0.832700,0.563046,0.062885
0.724036,0.583650,0.072309
0.446565,0.372144,0.046298
0.804376,0.602054,0.061490
0.806147,0.589389,0.051023
0.808878,0.557598,0.052260
0.556220,0.542217,0.062532
0.528708,0.607784,0.057092
0.546310,0.592872,0.060416
0.811392,0.557233,0.048603
0.823841,0.575033,0.057033
0.814922,0.556851,0.058248
0.697727,0.548246,0.055001
0.608369,0.194845,0.041675
0.570961,0.603484,0.050615
0.582239,0.525612,0.054446
0.557398,0.584447,0.062428
0.453988,0.628993,0.065586
0.594102,0.233788,0.074741
0.821105,0.571429,0.075559
0.783439,0.653701,0.052187
0.603797,0.246287,0.049470
0.543003,0.606602,0.049844
0.788360,0.587549,0.056841
0.795597,0.560000,0.071805
0.594113,0.586285,0.079684
0.538259,0.625954,0.002340
0.548732,0.679012,0.008167
0.630807,0.619159,0.042337
0.810627,0.616327,0.057880
0.787551,0.592992,0.063555
0.808300,0.594701,0.001370
0.820352,0.589809,0.058510
0.784558,0.580529,0.072136
0.817972,0.564868,0.050717
0.565773,0.609058,0.054028
0.540967,0.190608,0.065886
0.828877,0.589189,0.049968
0.589231,0.623494,0.077640
0.806843,0.600000,0.067229
0.815368,0.571123,0.055816
0.359375,0.616393,0.003759
0.817701,0.578947,0.054645
0.535620,0.608209,0.066777
0.738854,0.566461,0.045777
0.817102,0.578443,0.063670
0.287140,0.669165,0.043170
0.833718,0.580986,0.052624
0.540076,0.539024,0.070165
0.672825,0.558327,0.056817
0.626248,0.434282,0.064861
0.808625,0.582781,0.004693
0.631415,0.571429,0.001656
0.559167,0.565947,0.070659
0.813750,0.599010,0.073303
0.360031,0.558364,0.051928
0.825086,0.579727,0.062059
0.491525,0.395881,0.067235
0.813350,0.563275,0.070525
0.530806,0.270393,0.047820
0.807320,0.579114,0.050288
0.549391,0.644330,0.008570
0.700389,0.609962,0.044636
0.806818,0.591373,0.059304
0.808810,0.568245,0.075477
0.686855,0.563612,0.001130
0.650383,0.303555,0.043657
0.526963,0.654288,0.049298
0.832370,0.575723,0.058416
0.557214,0.544622,0.067837
0.838778,0.579114,0.073716
0.660743,0.296440,0.006848
0.812772,0.590711,0.048593
0.803614,0.571256,0.052203
0.750951,0.321796,0.062278
0.541824,0.608571,0.046052
0.712893,0.587992,0.054143
0.568807,0.517762,0.077686
0.727459,0.597610,0.011226
0.763366,0.595785,0.049005
0.754821,0.638411,0.058065
0.807888,0.580769,0.061179
0.301695,0.405360,0.049817
0.647628,0.295051,0.053400
0.813627,0.590591,0.051189
0.819048,0.571429,0.054121
0.578882,0.575179,0.057021
0.597710,0.581596,0.065502
0.833615,0.583333,0.004438
0.654517,0.800595,0.061679
0.807252,0.593779,0.049861
0.822070,0.575601,0.065088
0.575949,0.560939,0.066740
0.830568,0.593886,0.074811
0.628916,0.415556,0.077551
0.805582,0.579545,0.064711
0.565056,0.527403,0.004601
0.616150,0.537137,0.056241
0.558304,0.574972,0.064677
0.674185,0.617582,0.051383
0.837085,0.579288,0.060638
0.822850,0.581152,0.061021
0.828343,0.572295,0.065576
0.428309,0.232000,0.069866
0.545270,0.561819,0.066171
0.609155,0.787075,0.006876
0.813225,0.563015,0.054185
0.748474,0.337693,0.051920
0.824742,0.326161,0.062969
0.536854,0.360551,0.073124
0.542781,0.547619,0.048674
0.840139,0.574561,0.055639
0.571144,0.221689,0.071487
0.841401,0.593429,0.052923
